contrast,cge,Sex,effect.size,SE,df,lower.CL,upper.CL
Ancestral - Cold,coldcge,Female,-2.98027764307538,0.286235837703146,20.2039045908857,-3.57696906871273,-2.38358621743804
Ancestral - Hot,coldcge,Female,-1.7987134229608,0.28173662448047,19.7716238845495,-2.38684120388794,-1.21058564203366
Cold - Hot,coldcge,Female,1.18156422011458,0.281799848453135,19.7716238845495,0.593304458566127,1.76982398166303
Ancestral - Cold,hotcge,Female,-1.50681080956936,0.262421465313137,24.9457476860607,-2.04733754084812,-0.966284078290595
Ancestral - Hot,hotcge,Female,-0.893977810507375,0.256665357593719,25.070563718638,-1.42251457826129,-0.365441042753463
Cold - Hot,hotcge,Female,0.612832999061981,0.230118352633216,24.9457476860607,0.138843111048584,1.08682288707538
Ancestral - Cold,coldcge,Male,-2.76220350503285,0.286036874074995,20.1451996122332,-3.3585903932341,-2.16581661683161
Ancestral - Hot,coldcge,Male,-1.92449095223099,0.286939799810264,20.8133303351418,-2.5215409750869,-1.32744092937508
Cold - Hot,coldcge,Male,0.837712552801865,0.286621764167992,20.1451996122332,0.240106168744956,1.43531893685877
Ancestral - Cold,hotcge,Male,-2.12312779461704,0.246052871323732,25.5030528254841,-2.62937680440584,-1.61687878482824
Ancestral - Hot,hotcge,Male,-1.5464130757214,0.23372536556061,25.5030528254841,-2.02729848153285,-1.06552766990995
Cold - Hot,hotcge,Male,0.576714718895637,0.255785046847115,29.4608042234022,0.0539307528683383,1.09949868492294
